key_B,surface_carrez_lot1,surface_bati,nb_pieces,type_local,nb_lots,key_A
21974_B,65.83,66,2,Appartement,1,487_A
415_B,24.89,25,2,Appartement,1,488_A
416_B,45.22,38,3,Appartement,1,488_A
417_B,22.92,23,1,Appartement,1,488_A
415_B,24.89,25,2,Appartement,1,489_A
417_B,22.92,23,1,Appartement,1,492_A
418_B,11.43,15,1,Appartement,1,493_A
419_B,16.81,18,1,Appartement,1,494_A
420_B,68.19,66,4,Appartement,2,495_A
421_B,59.5,63,3,Appartement,2,496_A
423_B,18.26,20,1,Appartement,1,498_A
424_B,28.9,63,3,Maison,1,499_A
425_B,25.9,25,1,Appartement,1,500_A
426_B,30.0,28,1,Appartement,1,501_A
427_B,29.85,29,1,Appartement,1,502_A
428_B,21.71,32,2,Maison,1,503_A
429_B,69.7,66,4,Appartement,1,504_A
430_B,60.28,62,3,Appartement,1,505_A
431_B,75.3,75,3,Appartement,2,506_A
431_B,75.3,75,3,Appartement,2,507_A
432_B,26.09,26,1,Appartement,1,508_A
432_B,26.09,26,1,Appartement,1,509_A
432_B,26.09,26,1,Appartement,1,510_A
433_B,64.96,46,2,Appartement,2,511_A
435_B,119.9,121,4,Maison,1,513_A
436_B,36.24,38,2,Appartement,1,514_A
436_B,36.24,38,2,Appartement,1,515_A
438_B,99.22,100,4,Appartement,1,517_A
439_B,28.0,28,1,Appartement,1,518_A
439_B,28.0,28,1,Appartement,1,519_A
439_B,28.0,28,1,Appartement,1,520_A
440_B,27.45,25,1,Appartement,1,521_A
441_B,245.13,248,8,Maison,1,522_A
442_B,56.04,40,2,Appartement,1,523_A
443_B,50.05,54,2,Appartement,1,524_A
444_B,20.5,20,1,Maison,1,525_A
445_B,25.4,110,4,Maison,3,526_A
446_B,130.2,114,5,Appartement,1,527_A
447_B,17.14,17,1,Appartement,1,528_A
448_B,56.19,58,3,Appartement,1,529_A
450_B,37.71,39,1,Appartement,1,529_A
449_B,50.04,49,2,Maison,1,530_A
451_B,119.4,116,5,Appartement,1,532_A
452_B,67.58,68,4,Appartement,1,533_A
453_B,46.78,46,2,Appartement,1,534_A
465_B,29.33,29,1,Appartement,1,534_A
454_B,19.15,22,1,Appartement,1,535_A
455_B,23.69,22,1,Appartement,1,536_A
456_B,17.34,17,1,Appartement,1,537_A
456_B,17.34,17,1,Appartement,1,538_A
457_B,56.2,65,4,Appartement,1,539_A
458_B,59.6,63,4,Appartement,1,540_A
459_B,44.71,43,2,Appartement,2,541_A
460_B,62.38,70,3,Appartement,2,542_A
461_B,49.61,52,3,Appartement,2,543_A
462_B,55.76,35,1,Appartement,2,544_A
463_B,80.48,47,4,Maison,1,545_A
464_B,26.52,26,1,Appartement,1,546_A
466_B,45.08,38,2,Appartement,1,548_A
467_B,72.72,82,6,Appartement,2,549_A
468_B,35.18,35,2,Appartement,1,550_A
534_B,34.97,35,2,Appartement,1,550_A
469_B,25.61,29,2,Appartement,1,551_A
470_B,32.0,32,2,Appartement,1,552_A
470_B,32.0,32,2,Appartement,1,553_A
470_B,32.0,32,2,Appartement,1,554_A
471_B,69.45,65,3,Appartement,2,555_A
472_B,78.84,78,4,Appartement,2,556_A
472_B,78.84,78,4,Appartement,2,557_A
473_B,37.09,40,2,Appartement,1,558_A
474_B,65.39,85,3,Appartement,1,559_A
475_B,47.48,61,2,Appartement,1,560_A
476_B,26.1,25,1,Appartement,1,561_A
477_B,40.92,40,1,Appartement,1,562_A
478_B,26.0,24,1,Appartement,1,563_A
479_B,67.0,66,4,Appartement,2,564_A
480_B,56.5,63,3,Appartement,2,565_A
496_B,54.99,63,3,Appartement,2,565_A
481_B,38.5,39,2,Appartement,1,566_A
482_B,42.7,40,2,Appartement,1,567_A
483_B,16.7,17,1,Appartement,1,568_A
483_B,16.7,17,1,Appartement,1,569_A
1442_B,36.27,37,2,Appartement,1,569_A
1649_B,15.76,16,1,Appartement,1,569_A
483_B,16.7,17,1,Appartement,1,570_A
529_B,16.9,17,1,Appartement,1,570_A
483_B,16.7,17,1,Appartement,1,571_A
484_B,0.4,26,1,Appartement,3,572_A
485_B,59.66,69,3,Maison,1,573_A
486_B,21.2,21,1,Appartement,1,574_A
486_B,21.2,21,1,Appartement,1,575_A
486_B,21.2,21,1,Appartement,1,576_A
486_B,21.2,21,1,Appartement,1,577_A
487_B,43.36,45,2,Appartement,2,578_A
